Feature,Importance
cat__customer_city_diadema,0.0011056745
cat__customer_city_cuiaba,0.0010992922
cat__customer_city_aracaju,0.0010906593
cat__customer_city_itu,0.0010859263
cat__customer_city_palhoca,0.0010828607
cat__customer_city_betim,0.0010818635
cat__customer_city_cascavel,0.0010746765
cat__customer_state_SE,0.0010730211
cat__customer_city_marilia,0.0010673138
cat__customer_city_sao caetano do sul,0.0010660738
cat__customer_city_itapevi,0.0010651624
cat__customer_city_barra mansa,0.0010640403
cat__customer_city_duque de caxias,0.0010627339
cat__customer_city_paulinia,0.0010620503
cat__customer_city_sao jose,0.0010470265
cat__customer_city_belem,0.0010458346
cat__customer_city_resende,0.0010411092
cat__customer_city_barueri,0.0010305239
cat__customer_city_itaquaquecetuba,0.0010250586
cat__customer_city_araraquara,0.000998217
cat__customer_city_parnamirim,0.0009837904
cat__customer_city_embu das artes,0.00095509953
cat__customer_city_nilopolis,0.00095128804
cat__customer_city_araxa,0.00094894395
cat__customer_city_valenca,0.00094785396
cat__customer_city_ilheus,0.0009403386
cat__customer_city_volta redonda,0.0009286576
cat__customer_city_chapeco,0.00092647254
cat__customer_city_guarapari,0.000899497
cat__customer_city_lauro de freitas,0.0008980086
cat__customer_city_ipatinga,0.00089313416
cat__customer_city_sao jose do rio preto,0.00088032667
cat__customer_city_jundiai,0.00087762414
cat__customer_city_montes claros,0.0008772613
cat__customer_city_aparecida de goiania,0.00087199005
cat__customer_city_criciuma,0.0008690006
cat__customer_city_macae,0.0008663938
cat__customer_city_sao carlos,0.00084438757
cat__customer_city_itapecerica da serra,0.00084023946
cat__customer_city_juazeiro,0.0008357629
cat__customer_city_pouso alegre,0.0008262522
cat__customer_city_cariacica,0.0008232389
cat__customer_city_blumenau,0.0008032567
cat__customer_city_jacarei,0.0008012958
cat__customer_city_angra dos reis,0.0007947602
cat__customer_city_ponta grossa,0.000775425
cat__customer_city_araras,0.0007337099
cat__customer_city_cajamar,0.0007229573
cat__customer_city_colatina,0.00071665307
cat__customer_city_ferraz de vasconcelos,0.0007045945
cat__customer_city_marica,0.0006975763
cat__customer_city_conselheiro lafaiete,0.0006748666
cat__customer_city_campos dos goytacazes,0.0006693151
cat__customer_city_ribeirao pires,0.00064774975
cat__customer_city_itajai,0.0006421057
cat__customer_city_camacari,0.0006315864
cat__customer_city_pelotas,0.00062493485
cat__customer_city_franca,0.000612867
cat__customer_city_lages,0.0006120639
cat__customer_city_jandira,0.0005750808
cat__customer_city_linhares,0.0005715381
cat__customer_city_valinhos,0.00055399863
cat__customer_city_ananindeua,0.00049980864
cat__customer_city_nova lima,0.00049799663
cat__customer_state_AM,0.00047772855
cat__customer_city_campina grande,0.00046331555
cat__customer_city_dourados,0.0003678615
cat__customer_city_paulo jacinto,0.0
cat__customer_city_pedrinopolis,0.0
cat__customer_city_pedro afonso,0.0
cat__customer_city_pedro canario,0.0
cat__customer_city_pedro de toledo,0.0
cat__customer_city_pedro gomes,0.0
cat__customer_city_pedro ii,0.0
cat__customer_city_pederneiras,0.0
cat__customer_city_paulo frontin,0.0
cat__customer_city_pedro leopoldo,0.0
cat__customer_city_pedro osorio,0.0
cat__customer_city_pedro velho,0.0
cat__customer_city_paulo de faria,0.0
cat__customer_city_peixe,0.0
cat__customer_city_peixoto de azevedo,0.0
cat__customer_city_pejucara,0.0
cat__customer_city_paulo lopes,0.0
cat__customer_city_pedrinhas paulista,0.0
cat__customer_city_pedra,0.0
cat__customer_city_pedra lavrada,0.0
cat__customer_city_quixeramobim,0.0
cat__customer_city_pecanha,0.0
cat__customer_city_quixere,0.0
cat__customer_city_pedra azul,0.0
cat__customer_city_peabiru,0.0
cat__customer_city_pedra bela,0.0
cat__customer_city_pedra branca,0.0
cat__customer_city_pedra do indaia,0.0
cat__customer_city_pedra menina,0.0
cat__customer_city_pedreiras,0.0
cat__customer_city_pedra preta,0.0
cat__customer_city_pedralva,0.0
cat__customer_city_quixelo,0.0
cat__customer_city_pavao,0.0
cat__customer_city_pedras altas,0.0
cat__customer_city_pedras de fogo,0.0
cat__customer_city_pedregulho,0.0
cat__customer_city_pedreira,0.0
cat__customer_city_pedranopolis,0.0
cat__customer_city_penedo,0.0
cat__customer_city_penaforte,0.0
cat__customer_city_penapolis,0.0
